year,type,manufacturer,model,engines,seats,engine,aircraftId
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,1
1998.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,2
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,3
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,4
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,5
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,6
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,7
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,8
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,9
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,10
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,11
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,12
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,13
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,14
2002.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,15
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,16
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,17
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,18
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,19
2003.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,20
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,21
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,22
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,23
2004.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,24
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,25
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,26
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,27
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,28
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,29
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,30
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,31
2005.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,32
2006.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,Turbo-fan,33
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,34
2000.0,Fixed wing multi engine,BOEING,737-824,2,149,Turbo-fan,35
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,36
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,37
1999.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,38
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,39
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,40
2001.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,41
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,42
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,43
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,44
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,45
2002.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,Turbo-fan,46
2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,47
2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,48
2000.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,Turbo-fan,49
1998.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,50
1998.0,Fixed wing multi engine,BOEING,767-332,2,330,Turbo-fan,51
1994.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,52
1995.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,53
1996.0,Fixed wing multi engine,BOEING,757-224,2,178,Turbo-jet,54
