Name,IATA,Location,Latitude,Longitude,Country,TimeZone
Utirik Airport,UTK,Utirik Island,11.222219,169.851429,MH,Pacific/Majuro
Ocean Reef Club Airport,OCA,Key Largo,25.325399398804,-80.274803161621,US,America/New_York
Cuddihy Field,CUX,Corpus Christi,27.7211,-97.512802,US,America/Chicago
Crested Butte Airpark,CSE,Crested Butte,38.851918,-106.928341,US,America/Denver
Columbus Airport,CUS,Columbus,31.823898,-107.629924,US,America/Denver
LBJ Ranch Airport,JCY,Stonewall,30.251801,-98.622498,US,America/Chicago
Nunapitchuk Airport,NUP,Nunapitchuk,60.905591,-162.440454,US,America/Nome
Icy Bay Airport,ICY,Icy Bay,59.966269,-141.660118,US,America/Anchorage
Kalakaket Creek AS Airport,KKK,Kalakaket Creek,64.4166256967,-156.820392609,US,America/Anchorage
Dunsmuir Muni-Mott Airport,MHS,Dunsmuir,41.263199,-122.272003,US,America/Los_Angeles
Chase Field Industrial Airport,NIR,Beeville,28.362444,-97.661917,US,America/Chicago
Grand Canyon Bar Ten Airstrip,GCT,Littlefield,36.258614,-113.231159,US,America/Phoenix
Lime Village Airport,LVD,Lime Village,61.3591003418,-155.440002441,US,America/Anchorage
Hog River Airport,HGZ,Hogatza,66.176133,-155.684816,US,America/Anchorage
Ed-Air Airport,OTN,Oaktown,38.851782,-87.49987,US,America/Indiana/Vincennes
Telida Airport,TLF,Telida,63.393901824951,-153.26899719238,US,America/Anchorage
Eagle Air Park,BZT,Brazoria,28.982200622559,-95.579696655273,US,America/Chicago
Blakely Island Airport,BYW,Blakely Island,48.579162,-122.823844,US,America/Los_Angeles
Drift River Airport,DRF,Kenai,60.5889015198,-152.162002563,US,America/Anchorage
Rinkenberger Restricted Landing Area,BDF,Bradford,41.2308998108,-89.61569976810001,US,America/Chicago
Tetlin Airport,TEH,Tetlin,63.124618,-142.518005,US,America/Anchorage
Roy Otten Memorial Airfield,VRS,Versailles,38.427799224854,-92.875198364258,US,America/Chicago
Atmautluak Airport,ATT,Atmautluak,60.866699,-162.272996,US,America/Nome
Livengood Camp Airport,LIV,Livengood,65.467,-148.6534,US,America/Anchorage
Pedro Bay Airport,PDB,Pedro Bay,59.796925,-154.129994,US,America/Anchorage
Ouzinkie Airport,KOZ,Ouzinkie,57.942094,-152.464314,US,America/Anchorage
Tununak Airport,TNK,Tununak,60.569638,-165.246649,US,America/Nome
Minto Al Wright Airport,MNT,Minto,65.147991,-149.368658,US,America/Anchorage
Aleknagik / New Airport,WKK,Aleknagik,59.2826004028,-158.617996216,US,America/Anchorage
Rollang Field,RFK,Rolling Fork,32.953543,-90.845144,US,America/Chicago
