CrewID,PilotID,HostessID,Hostess2ID,AssistantID
1,4045,8147,7841,5457
2,9134,5408,3805,5536
3,7959,1029,7992,5686
4,8522,1959,6490,1202
5,4870,6762,6126,7446
6,8481,5470,3217,7954
7,2003,9102,7536,201
8,5142,1786,1439,1867
9,3891,6628,6854,4260
10,385,1870,2161,1126
11,8455,9217,8786,899
12,2078,6102,4474,9599
13,8307,6555,669,7151
14,8516,3460,5739,9875
15,3167,8906,7713,1252
16,2882,9310,5980,2827
17,9503,7342,5332,873
18,2990,25,3499,4337
19,2662,9378,6404,174
20,9365,3506,432,3814
21,1283,744,4961,808
22,9578,1038,2719,5803
23,2160,1244,5240,6675
24,9817,5152,8309,4934
25,1255,1282,9331,6353
26,8989,1711,5098,7547
27,3233,5585,7423,907
28,551,1330,3307,8365
29,7010,1038,8775,4153
30,7375,7642,2609,638
31,8127,5908,7892,6492
32,3860,7767,2798,5666
33,8794,2523,461,534
34,4757,5651,7300,9394
35,3852,3995,4355,8143
36,9398,5345,9026,4750
37,7158,5298,7570,4477
38,8061,818,1244,9956
39,7903,7687,1351,3834
40,9147,7811,5842,902
41,4380,8459,7573,8832
42,2785,9815,5974,3749
43,9570,957,1711,352
44,2594,1556,5699,9972
45,7046,4252,3970,4462
46,6730,6100,10000,7039
47,2054,8356,4240,3360
48,7594,9450,4188,9673
49,9040,9722,9862,773
50,6145,4608,3559,4722
51,2689,4331,5231,3202
52,213,4364,249,3867
53,9142,2405,7765,4900
54,751,2254,2316,2401
55,339,4905,1416,5394
56,4523,3326,260,176
57,2179,7168,3603,2536
58,7077,1346,7997,2897
59,4536,3501,8988,9574
60,6678,3758,7140,2378
61,2830,4158,9637,670
62,47,1455,2437,4767
63,3098,3088,8821,8903
64,640,9533,4608,908
65,9048,7112,5019,3335
66,1285,1670,7991,8360
67,8403,2936,8993,5910
68,7273,5773,6598,4799
69,9262,5105,6578,7691
70,2744,1673,8972,4351
71,9329,3684,4236,3444
72,9300,5783,3537,9282
73,4104,9970,2140,4185
74,1297,7584,1565,5729
75,9782,4244,4280,9997
76,4793,4263,1543,1638
77,1026,8199,4414,9320
78,6163,4094,6273,5792
79,7908,4886,7040,5658
80,4569,5013,7222,631
81,7293,7621,8320,8040
82,6330,9358,2738,8369
83,7133,8607,5588,3752
84,5570,3262,2038,8622
85,4776,9593,1165,5151
86,9365,4663,3100,5561
87,2938,3118,3661,9726
88,1313,3821,3248,2772
89,4049,6358,4170,7516
90,8654,8487,1471,4449
91,3887,7101,6148,4149
92,6030,3,3520,5505
93,6700,1763,3102,8108
94,5689,9068,6306,467
95,8978,2044,9167,1982
96,7167,7128,7817,4884
97,7774,79,51,7691
98,1323,9335,2908,8622
99,5085,9688,6129,994
100,4533,8874,2818,6196
101,7523,9039,9241,5454
102,7359,1990,535,9567
103,6488,5791,260,3417
104,5039,4759,6332,4834
