SeatID,FlightID,SeatNumber,ClassID
1,52197,L10,3
2,63360,W31,3
3,24276,E35,3
4,83315,J10,4
5,9990,H5,1
6,87001,J32,1
7,39172,R49,5
8,22780,Z33,1
9,43761,H22,4
10,88227,L32,3
11,73739,T40,2
12,32486,A35,2
13,6523,J23,3
14,31451,D19,2
15,97041,Z28,2
16,35941,Z36,4
17,33347,M10,5
18,1450,Z2,1
19,74547,X37,5
20,57014,X22,5
21,92681,A40,2
22,74223,J50,4
23,45609,C25,3
24,24676,T17,2
25,98695,H3,2
26,71564,B14,3
27,97758,Z42,4
28,76439,X31,4
29,86800,X46,5
30,97234,L5,5
31,40088,F7,4
32,80662,L8,3
33,91573,T24,1
34,39580,L25,4
35,16876,C9,4
36,73322,Z34,3
37,45925,M41,2
38,15570,L31,2
39,40981,R50,2
40,16272,A37,5
41,50459,S10,5
42,69936,N1,2
43,36777,H39,3
44,96619,D8,5
45,36747,C42,3
46,94714,J40,1
47,34031,F25,1
48,63045,Y34,4
49,93837,C39,3
50,75846,H33,5
51,30112,R11,4
52,1923,N13,3
53,96216,H50,3
54,94451,H31,2
55,37656,T17,5
56,5427,X3,5
57,64359,X17,3
58,93072,K14,2
59,54688,G42,1
60,46937,K48,4
61,9616,J7,5
62,4763,T15,2
63,65541,T29,4
64,54461,M9,4
65,89477,N12,4
66,99466,M10,2
67,35210,J20,5
68,64077,M18,3
69,10229,B39,2
70,34271,D39,4
71,85940,Y31,3
72,52532,B49,4
73,1024,H36,2
74,39454,H33,2
75,49987,J46,1
76,51327,Z5,1
77,94349,M36,3
78,80528,X32,4
79,64203,Z46,4
80,23514,M45,1
81,91225,X25,3
82,95887,J7,2
83,37581,B32,5
84,68179,K49,2
85,93041,B31,3
86,47457,T10,2
87,77384,P47,3
88,69544,B50,3
89,31145,S23,1
90,48471,G46,1
91,72849,C34,1
92,78642,E23,1
93,2425,X1,3
94,33830,J2,2
95,29581,R48,4
96,47615,C22,4
97,58908,R46,3
98,87512,Y12,4
99,94985,E4,4
100,62948,M21,4
101,31162,K32,2
102,92399,M5,3
103,50921,W13,5
104,65955,F8,5
105,19993,T43,4
106,85197,H12,3
107,41767,T30,3
108,96321,H34,4
109,45114,L41,1
110,9782,H48,1
111,41623,Z24,5
112,47235,W16,5
113,52464,X38,3
114,49653,X10,2
115,57793,A8,1
116,57643,J30,5
117,85762,E46,3
118,40979,F38,4
119,12881,E31,1
120,62812,X22,4
121,43750,T9,5
122,19653,S2,5
123,15863,H5,4
124,40252,S20,4
125,19923,P3,4
126,60476,W8,3
127,12943,X32,3
128,50360,J26,4
129,11058,D12,4
130,19747,R1,4
131,89249,W8,3
132,42164,D15,2
133,72872,W42,5
134,89881,C17,2
135,45077,T32,5
136,2254,G32,4
137,40547,A30,5
138,37279,N50,5
139,19162,P8,4
140,13807,X9,5
141,73145,N23,2
142,936,T29,3
143,15735,L33,1
144,3709,K50,2
145,82104,P41,3
146,31171,G4,4
147,40242,L23,5
148,1252,L39,4
149,18261,W29,3
150,72589,E50,1
151,59442,Y5,3
152,30845,Z12,1
153,81006,F35,1
154,44575,S3,3
155,20551,K42,4
156,79266,H6,5
157,74331,L29,5
158,3764,E28,4
159,34376,Y4,5
160,41988,M15,3
161,45890,L9,3
162,44275,T2,3
163,66634,D12,2
164,41988,W27,1
165,33551,C8,2
166,84536,X2,5
167,27411,Y43,4
168,18380,M1,3
169,35407,T18,4
170,19488,S15,2
171,21527,F12,3
172,96681,B17,4
173,92607,X33,5
174,51213,L28,3
175,62962,C2,3
176,69128,K1,5
177,62084,Z42,5
178,50578,X2,5
179,68675,R2,3
180,8165,D35,4
181,421,S38,1
182,87543,H30,1
183,37730,W20,4
184,6335,W30,3
185,58732,D49,2
186,64382,L18,5
187,27885,K36,2
188,46073,S11,2
189,3370,K32,2
190,75107,J33,3
191,43590,L37,4
192,96811,E9,4
193,95000,C20,5
194,34082,M26,3
195,74036,H38,3
196,42690,Y34,2
197,81821,D29,5
198,11150,F19,3
199,12904,P18,4
200,83915,M36,5
201,94047,N36,3
202,43027,X7,4
203,60935,G32,1
204,73128,L22,1
205,34053,K33,1
206,25815,G14,1
207,19788,Y40,3
208,70407,L41,5
209,98250,N47,5
210,93240,W43,4
211,36431,G35,2
212,15365,H39,4
213,52177,M10,1
214,13081,X35,4
215,76066,C49,2
216,99441,C30,2
217,67148,J42,4
218,60599,H34,4
219,99228,Z42,4
220,56940,G11,3
221,10254,W34,2
222,74894,H8,3
223,22100,T15,3
224,39741,W47,3
225,86824,H46,5
226,22753,B18,4
227,5176,R4,3
228,13461,C2,5
229,44396,A5,1
230,16915,W40,2
231,13281,R32,2
232,97926,M35,1
233,27262,M4,3
234,63088,L37,1
235,16371,Y17,3
236,10614,Z37,4
237,15913,R26,1
238,8656,J26,2
239,71225,F43,5
240,30885,S34,5
241,50720,D39,4
242,56212,N10,2
243,40716,M35,4
244,22006,W32,1
245,92105,F32,1
246,16449,L46,3
247,64768,G20,1
248,9435,L42,5
249,26637,E2,1
250,89933,G18,5
251,70190,A36,3
252,17265,R5,2
253,71571,E47,1
254,31742,D1,4
255,70655,B23,2
256,23966,C36,1
257,23085,A22,5
258,38136,R16,1
259,87060,H48,2
260,90701,T20,5
261,38789,R19,5
262,61810,G16,2
263,72093,R1,5
264,37350,F33,2
265,4348,X43,3
266,38852,G35,5
267,45096,B3,5
268,18476,E26,2
269,27266,D12,4
270,969,T40,2
271,36686,Y38,1
272,30692,Z38,2
273,87021,H34,1
274,19116,Z33,1
275,83618,H12,3
276,97266,T37,3
277,38880,J9,5
278,95558,L40,1
279,73568,L7,5
280,97933,H7,2
281,40302,Y43,3
282,66272,X17,2
283,23579,D21,1
284,1564,P1,2
285,78591,M31,5
286,44786,P13,5
287,30635,S16,4
288,34752,P42,3
289,42259,D1,4
290,83436,L4,5
291,66894,T21,5
292,81988,L20,4
293,69830,E41,5
294,5856,A19,4
295,49292,Y15,1
296,92940,T29,3
297,57543,M10,3
298,1387,E45,5
299,29126,M5,1
300,66822,M15,5
301,2110,K15,3
302,84581,E28,5
303,18408,E20,1
304,3332,Z11,1
305,34340,S12,5
306,76424,N12,3
307,96651,P14,1
308,13092,A3,2
309,772,G11,4
310,60551,G38,3
311,72631,D4,5
312,46382,N16,5
313,48004,J39,2
314,8601,M6,3
315,82300,A3,4
316,33107,D20,5
317,91913,N1,5
318,59840,X20,3
319,73802,F46,3
320,73832,M37,3
321,93616,P22,5
322,35985,W11,2
323,38379,P48,2
324,8828,S19,3
325,84410,L3,5
326,49050,N38,1
327,49109,C46,3
328,22370,J22,4
329,49347,Y21,3
330,33744,W46,1
331,94381,G49,3
332,86491,D34,5
333,83028,R41,4
334,20035,C22,1
335,12245,H39,2
336,2020,K1,4
337,88,B6,2
338,86597,A40,3
339,95514,T10,2
340,13423,Z40,3
341,66643,W39,3
342,72208,G14,2
343,20438,E26,2
344,14462,C37,1
345,38775,Y23,1
346,48989,R32,2
347,69017,D33,1
348,76473,T7,1
349,94571,E11,1
350,59005,H7,2
351,39100,L14,1
352,67974,R21,1
353,70183,W38,3
354,84134,N22,3
355,84299,B27,3
356,29849,C6,1
357,46544,B31,4
358,74967,B28,4
359,85866,F5,1
360,82183,L49,2
361,35730,M43,3
362,8443,M1,5
363,27535,R46,4
364,76326,C37,2
365,39193,X31,5
366,48660,B14,3
