ServiceID,FlightID
5,13
5,19
4,24
8,24
15,27
20,30
17,34
6,34
17,42
8,44
2,48
20,55
9,58
19,60
20,61
1,62
10,68
9,71
10,71
16,71
20,72
19,80
20,81
3,81
17,82
5,82
8,83
1,84
13,85
15,86
10,90
19,93
12,93
9,96
7,97
20,99
13,108
10,110
9,111
19,113
11,115
2,115
9,116
15,123
1,126
3,129
14,138
8,144
20,146
5,147
6,153
7,154
11,155
9,156
18,166
18,178
20,179
6,185
11,189
8,190
3,194
3,198
4,199
10,200
1,201
7,201
15,202
12,205
11,209
10,209
1,217
8,220
3,224
3,236
8,238
11,240
13,241
19,245
10,246
11,251
5,252
7,255
13,265
17,266
7,271
5,276
2,281
2,282
16,286
11,294
6,296
7,300
14,302
19,306
17,306
20,307
3,309
16,313
2,315
7,318
18,323
17,326
8,333
12,350
5,351
9,352
5,357
5,364
8,370
2,373
19,373
5,375
17,378
2,379
10,380
9,381
4,382
18,387
9,388
2,388
14,393
10,394
19,396
11,397
19,397
6,403
8,406
8,408
12,413
1,416
14,416
14,418
15,422
3,425
12,426
10,427
3,432
1,437
11,438
13,438
19,448
8,451
17,460
17,463
18,465
8,466
14,466
11,468
11,468
12,472
16,477
8,488
11,488
15,489
1,494
13,494
9,495
7,496
10,499
8,501
6,501
16,502
10,504
3,506
13,507
13,508
18,508
16,509
7,509
15,510
18,512
11,512
2,517
16,519
9,535
3,541
17,544
16,552
15,553
14,554
2,556
12,557
18,557
11,559
13,569
6,571
7,574
16,576
19,581
2,583
15,583
3,583
8,584
6,585
5,586
16,587
1,597
18,598
2,608
9,610
4,616
13,617
20,619
4,625
12,626
20,630
2,632
11,633
20,633
5,634
16,637
17,638
10,646
2,653
14,653
19,654
7,663
16,665
19,666
4,667
16,669
9,675
17,681
1,681
6,688
14,699
10,701
15,702
9,707
5,710
17,712
4,713
19,714
17,722
10,723
16,730
15,731
2,732
18,734
9,734
17,748
9,756
12,757
20,759
8,761
6,766
5,767
1,767
1,770
14,771
5,774
5,777
19,781
3,783
16,783
14,785
4,788
14,790
15,790
12,795
10,796
19,797
12,797
18,803
16,804
14,806
7,811
19,824
17,828
11,829
17,834
9,845
7,848
3,856
14,857
18,858
10,859
20,859
13,866
3,873
5,873
6,875
3,876
12,877
3,878
8,879
13,879
17,881
8,885
15,887
6,888
3,889
18,892
2,897
19,906
17,912
8,918
13,919
17,922
7,923
12,927
6,930
4,934
6,935
8,936
2,937
14,940
2,952
15,954
10,956
4,958
10,962
19,964
16,976
12,977
13,977
17,980
16,987
4,989
13,993
1,995
18,1001
13,1002
5,1004
15,1004
13,1008
14,1011
10,1012
9,1014
11,1015
20,1030
15,1030
15,1034
13,1040
6,1043
2,1046
9,1048
4,1052
